Hier wird die Struktur der Stahl-Control Datenbank (!SC-Entwicklung) abgebildet. Der Name der Datenbank ist Conzept C16.
Es werden Tabellen, Schlüssel, Verküpfungen und Dialoge abgebildet. Datenbank Abfragen werden immer erreicht,in dem die Dateinummer (Eindeutiger Bezeichner der Tabelle), und eine Verknüpfung über die Schlüssel angegeben wird. Ein Beispielcode um einen Datensatz aus der Tabelle 200 Mat.Materialdatei zu lesen wäre: RecRead(200, 1, 0);

Datenbank        : !@SC-Entwicklung                         10.11.2023   14:29


Nr.  Dateiname            Teile  Infos  Schl.  Verkn. DBA    Hauptdatei   Sätze

100  Adr.Adressen           8      0     13     79     71                  101
101  Adr.Anschriften        2      0      6      7     99                  118
102  Adr.Ansprechpartner    1      0      6      1    101                   34
103  Adr.Kreditlimit        3      0      2      2    112                   96
104  Adr.V.Aufpreise        1      0      1      0   1078                   10
105  Adr.Verpackungen       6      0      7     11    636                  124
106  Adr.V.Ausführungen     1      0      2      1    637                   23
107  Adr.Kontaktdaten       1      0      7      5    603                  810
109  Adr.Scripte            1      0      2      1    790                    1
110  Ver.VertreterVerband   2      0      3      5    116                    8
111  Ver.Provisionstabell   1      0      2      2    121                    0
120  Prj.Projekte           3      0      5     12    458                   20
121  Prj.Stückliste         4      0      2      4    612                    5
122  Prj.Positionen         3      0     12      3    801                  385
123  Prj.Zeiten             3      0      3      3    805                   22
130  LfE.LieferErklaerung   2      0      3      8    985                    5
131  LfE.Strukturnummern    1      0      1      0    994                    1
160  Rso.Ressourcen         7      0      3     10    175                   12
161  Rso.Tabellen           2      0      1      0    648                    4
163  Rso.Kalender           1      0      1      1    426                  322
164  Rso.Kal.Tage           1      0      1      0    425                    6
165  Rso.Instandhaltung     2      0      2      2    185                   25
166  Rso.IHA.Ursachen       1      0      1      2    182                   12
167  Rso.IHA.Maánahen       1      0      1      3    189                   12
168  Rso.IHA.Ersatzteile    1      0      1      1    191                    6
169  Rso.IHA.Ressourcen     1      0      1      2    193                    2
170  Rso.Reservierungen     2      0      3      3   1008                  882
171  Rso.R.Verbindungen     1      0      2      2   1012                  213
180  HuB.Artikel            2      0      2      3    153                    2
181  HuB.Preise             2      0      3      2    155                    3
182  HuB.Journal            1      0      1      0    157                   27
190  HuB.Einkauf            2      0      3      6    159                    7
191  HuB.EK.Position        2      0      4      4    161                    7
192  HuB.EK.Wareneingang    2      0      1      3    163                    4
200  Mat.Materialdatei      7      0     49     34    124                 1634
201  Mat.Ausführung         1      0      2      1    148                  770
202  Mat.Bestandsbuch       2      0      3      2    149                 1892
203  Mat.Reservierungen     2      0      7      3    150                  246
204  Mat.Aktionen           2      0      6      4    151                 2847
205  Mat.Lagerprotokoll     2      0      1      4    152                    0
210  Mat~Materialdatei      7      0     49     34    729                  837
220  MSL.Materialstruktur   6      0      5     11    641                    6
221  MSL.Ausführungen       1      0      2      1    892                    1
230  Lys.K.Analysekopf      3      0      9      4    643                    3
231  Lys.Analysedatei       5      0      2      1    644                   58
240  DiB.DispoBestand       1      0      4      2    823                 1077
250  Art.Artikel            4      0     17     27    218                   63
251  Art.Reservierungen     2      0      2      6    631                    9
252  Art.Chargen            5      0      9     10    267                  171
253  Art.Lagerjournal       2      0      3      9    268                  183
254  Art.Preise             3      0      6      3    269                  176
255  Art.StücklistenKopf    2      0      2      2    700                   20
256  Art.Stückliste         3      0      2      5    702                   28
257  Art.Ausführungen       2      0      1      1   1123                    5
259  Art.Inventur           3      0      4      7    240                    8
280  Pak.Pakete             3      0      1      3    827                   39
281  Pak.Positionen         3      0      2      1    829                   39
300  Rek.Reklamation        5      0      7     12    856                   21
301  Rek.Positionen         5      0      9     14    857                   27
302  Rek.Aktionen           2      0      1      2    858                   25
303  Rek.P.Chargen          1      0      1      0    574                    1
310  Rek.8.Texte            2      0      1      4    859                    6
400  Auf.Aufträge           3      0      5     23    398                  481

401  Auf.Positionen         7      0     26     24    399                  661
402  Auf.Ausführungen       1      0      2      1    400                  172
403  Auf.Aufpreise          2      0      3      1    401                  135
404  Auf.Aktionen           5      0     11     14    402                 3552
405  Auf.Kalkulation        2      0      2      2    403                  185
406  Auf.Einteilung         0      0      0      0    404                    0
407  Auf.Verpackung         1      0      1      0    405                    0
408  Auf.Feinabrufe         2      0      2      0    606                    0
409  Auf.Stückliste         6      0      3      6    609                    2
410  Auf~Aufträge           3      0      5     23    707                   77
411  Auf~Positionen         7      0     26     24    759                   88
440  Lfs.Lieferscheine      3      0      7      7    443                  465
441  Lfs.P.Positionen       4      0      6     17    444                  459
450  Erl.Erlöse             4      0      8     16    208                  254
451  Erl.Konten             2      0      5     12    212                  320
460  OfP.OffenePosten       3      0      6     11    205                  109
461  OfP.Zahlungen          2      0      2      3    214                  121
465  ZEi.Zahlungseingang    2      0      5      4    207                   32
470  OfP~OffenePosten       3      0      5      9    724                  113
500  Ein.Einkaufsdatei      3      0      5     20    324                  203
501  Ein.Positionen         7      0     23     22    325                  248
502  Ein.Ausführungen       1      0      2      1    326                   83
503  Ein.Aufpreise          2      0      2      1    327                   51
504  Ein.Aktionen           4      0      5      4    328                  266
505  Ein.Kalkulation        2      0      2      1    329                   32
506  Ein.Wareneingang       7      0      4     17    486                  903
507  Ein.E.Ausführungen     1      0      2      1    673                  313
510  Ein~Einkaufsdatei      3      0      5     20    560                   88
511  Ein~Positionen         7      0     23     22    552                   91
540  Bdf.Bedarf             5      0      8      8    461                   12
541  Bdf.Aktionen           2      0      3      2    462                    4
545  Bdf~Bedarf             5      0      8      7    503                    1
550  Vbk.Verbindlichkeite   3      0      3      7    209                   42
551  Vbk.Konten             2      0      2      7    213                   47
555  EKK.Einkaufkontrolle   4      0     13     11    216                  776
558  FxK.Fixkosten          2      0      1      1    283                    4
560  ERe.Eingangsrechnung   4      0      8     10    210                  116
561  ERe.Zahlungen          2      0      2      2    215                   24
565  ZAu.Zahlungsausgang    2      0      4      3    211                   43
570  Kas.Kasse              1      0      1      2    690                    4
571  Kas.Buch               3      0      1      2    692                    6
572  Kas.B.Positionen       3      0      3      2    705                   20
580  Kos.Kosten             2      0      1      1   1025                    5
581  Kos.B.Buchung          3      0      4      5   1026                   10
600  GPl.Grobplanung        5      0      1      1    753                    6
601  GPl.P.Positionen       4      0      4      1    754                   15
620  SWe.SammelWEingang     2      0      3      6    808                    7
621  SWe.Positionen         6      0      6     11    809                   45
622  SWe.P.Ausführungen     1      0      2      1    810                    2
650  Vsd.Versand            2      0      6      5    955                   16
651  Vsd.Positionen         2      0      3      4    961                   12
655  VsP.Versandpool        7      0     13     11    952                   38
656  VsP~Versandpool        7      0     13     11    973                   19
700  BAG.Betriebsaufträge   3      0      5     12    576                  664
701  BAG.InputOutput        6      0     11     20    577                 2543
702  BAG.Positionen         5      0     14     20    578                 1552
703  BAG.Fertigung          5      0      5     13    579                 1180
704  BAG.Verpackung         2      0      1      4    580                  535
705  BAG.Ausführung         1      0      3      1    581                  202
706  BAG.Arbeitsschritte    3      0      2      3    582                   24
707  BAG.Fertigmeldung      6      0      5     16    583                  612
708  BAG.FM.Beistellung     2      0      1      5    910                    1
709  BAG.Zeiten             3      0      1      7    585                   24
710  BAG.FM.Fehler          2      0      1      1    879                    0
711  BAG.Positionszusatz    3      0      1      0    536                   15
770  Mathematik.Hilfsvar    1      0      0      0    243                    0
771  Mathematik.Werte       1      0      1      0    244                    0
772  Mathematik.Variablen   1      0      3      0    245                    0

773  Mathematik.Formeln     3      0     11      4    246                    0
774  Mathematik.For2(773)   3      0     11      3    246    773 EFP         0
775  Mathematik.W2(771)     1      0      1      0    244    771 EFP         0
776  Mathematik.Funktwert   1      0      1      0    247                    0
777  Mathematik             1      0      1      0    248                    0
778  Mathematik.2(777)      1      0      1      0    248    777 EFP         0
779  Mathematik.Var2(772)   1      0      3      0    245    772 EFP         0
800  Usr.User               4      0      5      3     40                   37
801  Usr.Gruppen            2      0      1      1     41                   10
802  Usr.User<>Gruppen      1      0      2      1     42                   27
803  Usr.Favoriten          1      0      1      0    203                   66
804  Usr.Customrechte       1      0      2      0   1088                    7
805  Usr.Zeiten             2      0      1      0   1093                    0
810  Grp.Gruppen            1      0      2      0     78                   12
811  Anr.Anreden            1      0      1      0     79                    6
812  Lnd.Länder             1      0      3      1     80                  258
813  StS.Steuerschlüssel    1      0      1      1     85                   16
814  Wae.Währungen          1      0      1      0     87                    6
815  LiB.Lieferbedingunge   2      0      2      0     89                   18
816  ZaB.Zahlungsbed        2      0      1      0     91                   22
817  VsA.Versandarten       1      0      1      0     93                   22
818  VwA.Verwiegungsarten   1      0      1      0     95                    6
819  Wgr.Warengruppen       2      0      3      2    125                   32
820  Mat.Status             1      0      1      0    146                   50
821  Abt.Abteilungen        1      0      1      0    165                   10
822  Rso.Gruppen            1      0      2      2    167                    7
823  IHA.Meldungen          1      0      1      0    169                    4
824  IHA.Ursachen           1      0      1      0    171                    8
825  IHA.Maánahmen          1      0      1      0    173                    7
826  AGr.Artikelgruppen     1      0      2      1    217                   11
827  Math.Alphabet          1      0      3      0    236                    0
828  ArG.Arbeitsgänge       2      0      2      3    575                   40
829  Skz.Skizzen            1      0      2      0    618                    8
830  Kal.Kalkulation        2      0      1      1    621                    6
831  Kal.P.Positionen       2      0      2      2    794                   42
832  MQu.Qualitäten         3      0      7      2    285                  104
833  MQu.Mechanik           1      0      2      1    286                   29
834  MTo.Toleranzen         1      0      3      1    287                    7
835  AAr.Auftragsarten      1      0      1      2    343                   18
836  BDS.Nummer             1      0      1      0    345                    4
837  Txt.Texte              1      0      2      2    347                   26
838  ULa.Unterlagen         1      0      2      1    353                    9
839  Zeu.Zeugnisse          1      0      2      0    355                    4
840  Eti.Etiketten          1      0      1      0    357                   18
841  Obf.Oberflächen        2      0      3      8    360                   24
842  ApL.Aufpreisliste      2      0      3      3    361                   63
843  ApL.Listeneinträge     3      0      6     10    362                  839
844  LPl.Lagerplätze        1      0      2      0    513                   18
845  Tol.Dickentoleranzen   2      0      1      0    796                    4
846  KSt.Kostenstellen      1      0      2      0    568                   14
847  Ort.Orte               1      0      2      1    833                44227
848  MQu.Stufen             1      0      1      0    847                    8
849  Rek.Arten              1      0      1      0    852                    4
850  Stt.Status             1      0      1      0    854                    7
851  FhC.Fehlercodes        1      0      2      0    868                   10
852  ZhA.Zahlungsarten      1      0      1      0    874                    7
853  RTy.Rechnungstypen     1      0      1      0    883                   15
854  GKo.Gegenkonten        1      0      2      1    917                   15
855  ZTy.Zeitentypen        1      0      1      0    605                    7
856  Art.Zustände           1      0      1      0    380                    3
857  TTy.Termintyp          1      0      1      0   1084                   14
860  CuT.Customtabelle      3      0      2      0   1105                    4
